Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
UBL4A,CBX6,ZBTB25,MARK2,GRHL1,C3,MAP3K2,PM20D2,GPD1,BNIP3L,SNRK,MLPH,NFYB,TMEM144,ERCC6,VASP,B3GNT5,CHKB,ALKBH2,HLA-DPA1,DDO,TNFRSF10A,TOP2B,SHE,SCAMP3,TMEM138,GIGYF2,CLCC1,ZFY,COX8A,EFNA4,ARL5B,SLC9A6,FCF1,KCTD18,RTN3,MCOLN2,IDH2,ACO2,PPM1F,GCDH,LAPTM4B,PDE1B,CLOCK,MPI,CTBS,RPL13,GZMK,MAP3K3,TYW3,NAAA,ZNF136,SHMT2,TMEM86A,NECAB3,DISP1,SAT2,SERP2,MARVELD3,DNAJC3,DEAF1,CMBL,KSR1,BCLAF1,P2RY10,IL1RAP,SLFN5,FAM107B,TLR1,NANS,STX10,FAM20B,TMCC3,MPP1,GALNT6,TDRKH,GFOD1,SPATA2L,IKZF5,SRBD1,USP34,IL1RAP,NDN,LPIN2,SLC25A39,EXOSC8,CYP3A5,KRAS,TSPAN15,MRPS9,ASB6,ZNF706,RAB11A,VAV3,FPGT,IRX3,BST2,ZFX,VASN,CDC7
GFPT2,EDEM1,QSOX1,TCF12,MLH3,ZMAT2,PPP1R8,KIT,CKS2,ERBB3,POLL,RCCD1,ZCCHC17,TMEM127,TBC1D8B,LAMP3,CYP4B1,PHF11,CNOT4,EPN1,RAB27A,TCHH,BGN,RAB22A,C5,PIP5K1B,ZNF185,TXNDC11,PCMTD1,SLC30A5,STAT4,UNC13B,TMED3,TRAPPC6A,HOXB2,UHMK1,LRRC14,MOCOS,SLC12A2,UBE2L6,CITED2,TRAK1,EIF3J,CD14,RNF44,RAMP1,TFIP11,DGAT2,LPL,FAM78A,WDR25,MEF2C,ELP4,VEZF1,KRCC1,STAMBP,SETD1B,NETO2,GFPT1,TFCP2L1,EMP3,TGOLN2,CAT,CCL5,CCL2,DPM2,KBTBD2,EIF4G1,MEX3B,HERC5,EXT1,RPS27L,CCDC43,RABGAP1L,SET,MYO1E,AMZ2,LDHB,LEMD1,TNFAIP1,RABGGTA,DLAT,MAGEH1,RPP40,CPM,HS1BP3,KIAA0895,UBE2Q1,CD53,GPHN,CCT6B,BRPF1,CDC42EP5,N4BP2L2,OFD1,PPP2R1B,ZSWIM6,TMEM109,ZNF467,MPZL2
PTGR2,ZNF510,LRRK1,GPRASP1,KLF11,PPP3CC,PBX4,SCAMP3,PRKCSH,ALDH9A1,THOC7,FGL1,NT5DC1,CCR4,GATA2,HEBP1,DUSP22,ZNF677,FOXRED1,APP,MMS19,CISD1,DEK,TMEM138,CNN3,IRS2,NIN,SIRPA,CD86,POP7,SNRPD1,RNF113A,ZBED2,MCM7,TSPAN7,RNF208,RPL14,IVD,ELOVL6,FBXO7,CD2AP,RECQL5,BATF,CPSF1,TSR2,DOCK5,ALG3,SLC25A22,SLC45A3,SENP2,SYT1,RRP1B,EXOSC8,HERC5,EIF4G2,KLHL6,SASH1,DYNLL2,STAT4,EEF2,LAMA5,COX5A,CCNYL1,LPAR2,CAMK1D,SAP30,SLC39A4,MED29,MRPS10,GLYCTK,DAP3,TEX10,TNIP1,PFN1,ZNF627,FAM91A1,PREB,NUFIP1,ALPK3,NUAK2,BEX2,SUMO3,PDK2,GPR171,FANCL,TSC22D3,ESRRA,GNA12,BCAM,AMDHD2,SARDH,ARRB2,PER1,RIC8B,COMMD5,MAP1LC3A,ACOX3,GPC4,SUPT6H,BAD
GPBP1,SGK3,ERP27,ETV4,PTCH1,UCK2,GBP5,LRRC58,NKTR,TIMM50,MEA1,SLA,IL15,EPDR1,TXNRD1,SHISA5,PTPN2,PIP4K2C,SLC35A2,ITGB6,KCTD6,POMC,LILRB1,ATP6V0B,B3GALT4,SKIL,ABHD4,DDX20,CCDC69,PTPN23,PARP14,LONRF1,COX7A1,TTC27,ELL2,EXOSC10,PPIL6,PHF23,TCF12,ZNF439,SF3B5,P2RY10,BAZ2B,SURF2,SOS2,TFB2M,AGPS,MRPL1,TAF15,RAB11B,PCTP,PALLD,LMAN1,TRAF3IP1,MTMR12,LYPD3,EPHB2,LAX1,USP45,RPUSD3,IRS2,CXCR5,PYHIN1,CCDC28B,EBI3,PKIB,ARMC7,TMEM168,ZNF589,CHCHD5,MYCBP2,PCBD1,CRADD,INTS2,ZDHHC5,SNAPC1,AMBP,MAGED2,PAQR4,TMED9,ATP6V1D,RRAGD,SURF2,ZBTB33,CTDP1,PERP,EIF4E3,ZNF43,TRIM3,DAPK3,MINK1,ITPKB,DDX6,SEMA3C,FTSJ3,MAPRE2,DDT,CRYZ,RAB38,MATR3
HLA-E,ADCK5,ULK2,ARL3,HDLBP,ZNF384,GSTO1,ZNF831,FAM32A,NPAS2,GCHFR,CD37,ADCY7,SPTAN1,ASTE1,TP53INP1,OSBPL10,SF3B5,SASH1,CENPM,PPP1R11,MYC,KBTBD6,RAB8A,SNTB1,GTPBP1,YWHAG,ARMCX2,MON2,MTRR,MKRN1,SEPHS1,ZBTB6,ZNF197,TMEM11,MOCOS,THBS1,FSTL1,CHCHD4,SDC2,FAM120C,MEGF9,GMEB2,PGD,RBM14,SRRM2,GMIP,PDCD6IP,BAMBI,ZNF195,C1RL,TMPRSS2,SRM,U2AF1L4,PDE12,EOMES,RYR2,TNC,COPS3,POLR3K,TRIM27,RECK,AMBRA1,ITIH4,NUP37,YOD1,KIF21B,PAQR8,HCK,CYB5R3,NPHP1,TMEM129,GIMAP4,ZMAT2,OGFR,TMEM18,SLC39A3,MAP3K11,ENOSF1,NCF4,COL9A2,RNF2,ACOT8,CDC42EP4,FOXN3,RPL13A,SCYL3,SPAST,PTGES,FAAH,CIB1,ATP13A2,YKT6,TGFB1I1,TNFSF9,PIGQ,PTK2B,MTAP,DSG2,KLK10
CRELD1,TUBB2B,QKI,RUNX3,CUTC,GRB10,MCM6,ANP32E,SLC25A43,FBXO8,ARL3,ZC3H10,SEC11C,TAF9,ARHGEF11,AP1M1,SLC27A5,HGS,CD28,SLC30A7,MAP3K8,FAHD2A,SQLE,API5,IL6R,ARID5B,LY96,CORO1C,EIF3E,ARF5,WASL,MRPL54,TK2,PIGP,DHX36,KLRD1,CPSF3,ZYG11B,ATPAF1,RNF24,U2AF1,MTMR10,ZFY,HOOK2,PTPRJ,NDUFA9,CHKB,MFAP1,PRNP,NAF1,IVD,STEAP3,TIMP1,GLI4,ST6GAL1,PCM1,TCF4,DCBLD1,PRPF4,HES6,IFIT2,ZNF141,CAPS,LMBRD2,PPP4R2,TYSND1,HDHD2,FDFT1,SETD1B,STK35,POLA2,NAGA,ANGEL2,ATG9A,PTP4A3,C2,RPS20,RGS19,PTGS2,SEZ6L2,CCDC68,FAM161A,TNNT1,TEX264,GGNBP2,SRGN,G6PC3,ELF3,RAB21,PMM1,POLI,RCL1,ACYP1,MED30,IPO5,HTRA2,OSTF1,RPL27A,AKAP13,RAB8A
MLLT11,RNF220,GEM,MT2A,ASF1B,DEF6,TEAD1,GIGYF1,DEDD2,DNAJB11,HSPBP1,WDSUB1,LSM6,NEIL1,TTC27,BCL7A,DIAPH1,PHACTR4,MTF1,STK40,CCDC66,MXD4,ENY2,LDOC1,WDR33,NUDT18,MAML1,SMC3,ARL5B,PODNL1,RSF1,ANKS6,KLHDC9,TAF15,PRDX1,BANF1,PDCL,TRAM2,FAM3B,USP42,SKAP1,NDUFS8,RHOU,FUT8,LAMP1,SPAG5,UEVLD,IPO8,CALD1,AKT2,CD84,SLC16A5,APOD,PCMT1,AGA,TCFL5,PMPCB,RNASEH2B,SFT2D1,SAMHD1,VTA1,DRG2,PTX3,TMEM99,ZNF440,HPS1,TRAF7,DDX1,UBE2N,ZC3H7B,TUSC1,HSPA1A,ETV3,REPS2,SNAI3,DPP3,ENTPD4,PRPF4B,TMEM158,S1PR5,KIN,RPGR,PRAM1,LAIR2,PCDH7,ACOT4,DAB2,MREG,ANAPC13,RBBP9,USP21,TSC1,POLR1A,HSD11B1,MTRR,TOX,YWHAE,SCML4,NRBP1,AFF3
USP6NL,SLPI,PPIL6,LIN7B,MKI67,SEC14L2,SELENBP1,CENPT,TIMM17B,BTBD7,SFRP4,PDE6B,RDX,PICALM,MRPS18A,GABPA,SLC26A11,SURF2,F2R,TRAPPC1,HIF1AN,SLC26A2,MON1B,DPYSL3,SOD1,PFDN1,ZNF585A,ATP6V1G1,B3GAT1,BRMS1,VAPA,NR2F1,PRPF31,ARSA,SPCS1,RAB40B,FYCO1,TBC1D19,RAF1,MYO1G,PRKD3,NPL,ZNF165,TYMS,HNRNPAB,BPHL,UCHL1,FCRL1,TJP2,LOXL3,NDN,PHF13,GBGT1,COCH,TRERF1,RBM38,TACSTD2,UBR1,TMED8,RNF128,AMBRA1,KIAA0232,PTPRK,JMJD6,TMEM126B,DLGAP4,GRINA,DNM1L,TMEM50A,ZNF148,PSAT1,SPDEF,TOR2A,PCDH1,FNBP1,PLA2G10,THAP11,GDI1,UBR3,TMED7,TBC1D10A,TFG,MRPL51,CENPM,HDHD3,ITIH4,TRIM3,PREP,MTCH1,HUS1,TMEM156,TMEM158,CLIC4,JMY,CCDC82,CLCF1,MAP2K5,INTS6,SH3BGRL,IGFBP6
ZNF562,ICMT,AVIL,ZNRF1,UBN1,ZFAT,ZXDB,HERPUD2,HPCAL1,TAP2,PLS3,ZNF704,SPIRE1,MRPS18C,IL1RL1,CTSS,USP40,MIS12,WNT7B,ZNF146,FASTK,MRPL18,MED19,MPND,TIAM2,LLGL2,NUDCD1,BIRC3,TMEM127,ZDHHC14,MMP9,DNAJC12,RAB11B,SHMT1,ACCS,ATP11B,MAP2K1,CAV1,REC8,PVT1,MRC2,TOB1,SLC2A13,SHISA5,ZNF275,ZNF684,CIAPIN1,RPS11,CLEC4E,HTATSF1,APBA3,RASSF1,HOOK2,FHL1,PNPLA8,CCL13,THOC6,RIN2,APEH,EEF1D,HECTD1,SETD1A,MRPS36,KIF13A,ATP1A1,ZNF335,TAF4B,RGS18,PLEKHG3,DIXDC1,MIER2,PRNP,FAM8A1,SIRPB2,PRKCH,BBX,TROAP,ULK4,INTU,SGPP2,CCNG2,CATSPER1,TRIM38,SMARCD3,SORL1,MGP,CITED2,ARAF,NOC3L,GFI1,DNAJC13,GCHFR,LY6E,LONRF3,SORCS2,H6PD,NF1,ITGA3,DEGS2,CRYAB
HS6ST2,MOCS3,DDX21,CD38,F8,KCNA3,MTMR9,TMBIM4,ALKBH6,SPARCL1,CLTC,ERH,MANBA,ARPC4,SHARPIN,VPS29,NME3,ATP6V1F,MCCC2,CHD3,UPF3B,RBL2,SUMF2,LY75,ENPP5,CRK,MTMR11,MAP2K3,PILRA,PDK3,AMPD2,NOXA1,RGS10,TAF1,CCDC92,CDK5RAP2,PGLS,OAS3,TMOD1,VPS45,SRA1,GOLGA3,NOC2L,PARP3,RPL13A,TSPAN6,NR3C2,TMEM159,NUDT16,CRIP1,AKAP7,RC3H2,PIN4,CHMP6,CPA3,FKBP14,AFTPH,TMEM156,CHMP4C,UBR5,MEF2C,MNAT1,ARL8A,POLR3H,CCDC146,RHOU,ZDHHC20,MUC12,NDST2,DAPL1,ALG10B,MT1G,NQO2,TRIM59,UBAC1,CLPP,EFNA1,HUWE1,FOXK1,HMBS,EIF2S3,ATAD3A,RNF168,C1RL,ANAPC11,PDE7A,SPAST,JAKMIP2,SLC25A13,MRPL53,SNAPC5,B2M,ADD3,GLG1,EDEM2,BRD4,CXCL3,PLEKHM1,NAB1,ST6GALNAC1
