Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
GOLGA3,CAPRIN1,ISCA1,GNAO1,CLCN3,EXOC4,SOCS6,ZNF397,GGT7,HSPBP1,RFNG,KCTD13,ITGAE,DLGAP2,TUBA1C,PHF1,THNSL2,POLR3B,CDS2,STIP1,PALM,CTNNAL1,CHSY1,HABP4,GAPVD1,ATG12,PLEKHA6,FADS3,PLD3,GAS2L1,CTTNBP2,MRPL39,TMEM120B,ERC2,COL20A1,SLBP,RBM22,FASTKD2,TSPYL1,FEM1A,ATF7IP,RAC1,MMD2,POLR3H,IRAK2,SLC24A4,CH25H,SCN1A,ACER2,BNC2,NHP2,CHGB,CNKSR2,KIAA0430,FAM149B1,ADAMTS14,ELK4,SCUBE2,EEF2,FGFR1OP2,CKAP5,JAGN1,LIMCH1,SLTM,ZNF766,OCA2,PCSK2,MTDH,ZFYVE9,CAD,DTX1,YAF2,DIS3,MKRN3,AES,GPR162,MAP2K2,PLS3,SFXN4,RASA1,NUBPL,RNF208,SORT1,IL6ST,TCF20,HS6ST1,SETDB2,ACVR1B,FAM65B,ALDH7A1,CD22,DLX1,CLCA4,SLC25A6,RPS19BP1,SLC48A1,NDUFB2,IQSEC3,ZNF280C,USP48
RBMS2,TRIL,CCDC92,TTLL7,RRN3,TMEM19,RRM1,CHCHD6,RMND5A,RMND5B,TMEM8B,AXIN1,ILKAP,MPP6,BTG3,NRIP1,SFXN1,MIER3,TTTY10,NOP2,GMFG,CCNI,NUP37,YIPF5,FAR1,HCLS1,PTPN18,LZTR1,ANKS6,TF,ZFP36L2,ITPK1,SDCCAG8,RPS19,SLC16A1,TAX1BP1,ENY2,MTMR12,SLC13A4,FGGY,DDX5,NOL10,ZNF273,ATF7IP,GABARAPL2,SUMF1,PIP5K1A,MBD5,GTDC1,MAGED2,RPLP1,DYNC1I2,PCYT2,KCNT1,RASSF3,CD82,RAB10,KLKB1,PLA2G12A,FBXO28,TMLHE,CSNK1G2,ZNF644,USP31,MINA,CDH19,FSD1L,MOAP1,NUP188,AATK,PRKCE,TMEM132B,HYOU1,SLC6A1,EEFSEC,DNAJA4,CNOT1,SCAMP3,TNPO1,BLMH,HIF1A,HMGB1,TTC9C,GPR34,LNPEP,CYB5D2,CLCN2,NDUFA12,KIAA0753,MRE11A,ZNF749,HECA,SMARCA4,SLC30A6,SAR1A,OGFRL1,RPRD1A,FAM135B,GTF2H1,RPS6KA5
ITM2A,CD86,YARS,DMPK,AGBL1,FKBP3,NIPSNAP3B,CRLS1,SYT9,LSM5,TNKS2,MAP2K6,STK40,SMURF1,STAMBP,SMAD5,ZNF493,FAM98B,MTMR14,ZNF25,MED24,NAGLU,VPS13C,MIB1,SRPX,SMS,TMEM130,MKNK1,MSI2,LDLRAP1,SYT14,AKAP8L,METTL7A,MRPL52,RTN4RL1,CEP57,WDR1,SRPK1,PKNOX2,ENTPD3,MPPED1,ACAP2,GABBR2,ANAPC2,MRPS31,ZNF169,PRKAR1A,MRPL52,ZC3H7A,CHCHD1,TBC1D16,MDH2,CHD2,MTA3,ADAMTS17,PRELID2,CNOT6,WDR36,ST6GALNAC3,LRFN4,ZNF226,DISP2,POP7,ATG10,DHX29,PBXIP1,DUSP12,FBXL20,SNX32,SLC25A29,FH,ALDOA,ALCAM,INPP4A,UBA6,TRPC5,ALAD,RPS11,PIAS2,SIRT5,NTRK2,CCNG2,KLHL2,CEP68,MT1M,GARS,PDHX,BRMS1L,FOXK2,FILIP1L,FBXW2,RTN3,CHM,TFEB,RBPMS,SMAD2,TRIP4,MAP7D1,SEL1L3,KIAA0895L
FAM149B1,MAFG,TMEM125,SDK2,RGS7,PPAT,PDE8B,ARL15,PDLIM7,GRM3,CUL9,INTS3,TRIM33,HLF,GLDN,NOVA2,VIP,EAF2,DHX40,CEP76,SEC24A,IARS,ZMYND19,EP300,SLC25A18,HOMER2,L1CAM,SLC25A25,INTS4,ASCC3,DAPK2,FAM175B,FANCB,APH1A,SYMPK,SCN3B,MUT,PTK2,BCAT2,WARS,GTF2A2,ZNF100,TSEN15,SUPT16H,ARL15,CETN3,IGF2R,PIAS4,NFXL1,VPS36,POP7,SCN2B,SERHL2,CSMD3,BANK1,IGSF11,CPT1A,QRSL1,SENP5,PLEKHM2,SECISBP2,TMEM123,KIF2A,GJB1,ACYP1,C1S,ZNF804B,SPG21,SLC2A5,STK32C,RANBP2,ZBTB4,ID4,ALG8,ZNF623,CACNA1I,PIAS2,SEMA3D,PDGFRB,RAP1B,NLRC5,PAAF1,AP3M2,SLC15A2,PRKCH,TSSC4,ELL2,RARS2,PDE11A,GALNT7,RIMKLA,PLEKHG3,MICALL2,ATF7IP,CNN3,SH3PXD2A,HSDL1,HNRNPH1,USP9X,UGT8
FOXK2,RCSD1,HES6,RHPN2,ATXN7L3,PHF7,PTPN14,TPST2,TTC14,ELMO2,WDR44,MAP1LC3B,TFAM,ARHGAP22,TMEM179,ARGLU1,TULP4,STK24,DSCAM,WHSC1,FAM134B,TYRO3,YWHAZ,SH3TC2,ALAD,PARP4,PTPRN,RNF165,POT1,TRIM28,TMEM201,ALDH1A1,CSPG5,SUMF2,AHI1,MORN4,CRAT,FYN,NMNAT2,PRMT7,SERBP1,LAMB1,TRAF3IP1,IMP3,HPS3,CNKSR2,KCTD4,RYBP,SNAPC1,ITGAL,ATP6V1H,WRNIP1,SRD5A3,IKBKB,ENO1,PELP1,KIF22,PHIP,NKX6-2,KLF7,LRP2,SSR3,SLC20A2,ATP6V0A2,TEX10,PBX1,ATAD1,CLPP,STK25,PAX6,RIC3,RAPGEF5,KIF3A,MTDH,CHD1L,SYNJ2,ATP5F1,CDKN2D,RAB7A,RBP4,IMP3,DNAJB14,MED24,HEATR6,BLVRB,KIF16B,TRIM66,QSOX2,DNMT1,SLC31A2,CYP20A1,NENF,IFT74,UQCRHL,KLHDC4,ATF1,NECAP1,MRPS26,TBC1D10B,SCFD1
UMPS,WDR61,GRM4,SAMD3,CCDC122,HINFP,EEF1D,IL34,BBX,RHBDL2,USP45,CLUAP1,DEK,SNX7,LOXL2,CD81,RBP4,GPIHBP1,NPTXR,CASD1,STK24,SLC26A8,STXBP1,TXNRD1,ATOX1,USP13,BCL2L14,PCP4,UBA1,ROBO1,PNN,CPE,FKBP9,PINK1,RPL29,ZNF721,RPS6KA3,ALDOA,NEK11,SENP6,GADD45G,YIPF4,GNAI3,SETD7,PDZRN3,FCGR2A,MAP3K9,VWA3A,FAM184A,ZNF84,POU6F1,B3GALT2,ERAL1,ARRB1,SLC6A9,FEM1C,CSGALNACT1,VAV3,RYR3,C1QTNF6,PPHLN1,ANKRD27,DDX24,KCNT2,AP3D1,ABL1,SLC38A6,CSF2RA,BLMH,TCEA2,SNX30,ETV1,NOC2L,PAPD4,SORCS2,C1D,EPHA6,ZFC3H1,SCN3A,TMEM232,DNAJA2,STOML2,GOT1,HEMK1,GTF3A,NPTN,TMPRSS5,PSTK,GLI3,AP1S2,SORCS1,RPL34,PRSS23,TMEM62,TEX14,MNS1,GABRA6,NEK11,TTC14,XYLB
FBXL4,PLEKHB1,NETO2,TSPYL1,TBC1D17,RNF19A,HAGH,GABRA6,RAB18,ETFA,CCDC26,CHN1,NEU4,EFCAB7,CD226,IFNAR1,RALGAPA1,CFDP1,ZNF254,ANKZF1,PLCG1,NOVA1,POLR2K,KREMEN1,CCNYL1,ZMPSTE24,PIK3R4,GFM1,TOP2B,SLC35B1,TMSB4X,ANO10,MAPK4,HNRNPK,MDN1,S100Z,DPY19L4,CHMP2A,CNRIP1,BICC1,CWF19L1,RAB6A,EIF1AX,ABL2,DYNLL2,RAB11FIP2,GLCCI1,RGMB,KLHDC1,RARB,TRAF3,EIF1B,HSPA5,DYRK1A,ANKRD52,ACTL6A,VTI1A,CADM3,CTGF,EXOSC8,SIRT7,KPNA5,COL19A1,UBA6,ANKRD7,RNF111,ZMIZ1,PGM5P2,PBX4,CAPN7,GTPBP1,CAND2,TP53TG5,RPIA,SPRY2,CCDC18,LY6E,OXNAD1,TTC37,FAIM,UFD1L,ZNF365,GALNT10,TSC22D1,B3GNT7,SORCS3,LIAS,SYT7,ARSB,ARHGDIG,CNOT6,YY1,PLA2G15,KIF6,SLC25A12,NTN1,ZNF138,XPO5,TJP2,DNAJA2
SP1,RPRD1B,TOR1AIP2,DDX41,DCN,ARMC5,CHMP4B,RANBP2,FKBP8,WDR91,SRP9,NDST4,NDUFB7,MRPL16,ARMCX4,SUPV3L1,IDH1,SDR39U1,GREB1,GLG1,DAAM2,RAF1,DEPDC5,TCEAL7,SLITRK4,TMEM62,SEL1L3,FBXW7,SEC24C,RPS19,UTY,CBLL1,EPS15,MCF2,SMARCC1,CCDC7,CAP1,RPGR,DGKB,MSRB3,JAKMIP3,KCNJ3,AP4M1,SIDT2,CHCHD10,ST3GAL5,TRNAU1AP,SPIRE1,NCL,TIAM1,MBTPS2,MTMR3,TPI1,IPO7,PAPOLG,ARL6IP5,PTPN18,CPSF6,TMEM59L,RPN2,PKIG,SLC8A3,ZMYND8,UBE3B,IQGAP2,GKAP1,UBE2G1,GYG2,HERC2,MPP5,ATN1,PALMD,CYP7B1,MAPK1,PTK2B,PFKP,STAMBP,EED,KBTBD12,ZCCHC14,CCDC117,ZNF33A,RGS11,SMG6,RNF219,HGS,MYEF2,MAPK6,PCGF6,ASPSCR1,KIAA0586,SSR2,RHBDL2,DIDO1,SUPT6H,CEP192,TRAPPC3,NFE2L2,GRIK1,RASGRP3
NUDT4,DNAJC10,LSAMP,GPS1,PPDPF,RPS28,HSPBP1,COL24A1,TRAF1,BRI3,EXOSC7,FER,BANP,SULF2,TRIM9,GTDC1,TMEM134,LBR,PKD2,OGDHL,CHADL,SOX12,NCDN,AFF4,CRMP1,RILPL1,BOK,CYB5R4,HSPB8,FAM3A,SF3A3,TRAF3IP1,STK19,TMEM167B,CREB3L2,RBM12B,LZIC,FAM149A,PRDM2,DDX60L,COMMD1,MCL1,GPR85,NDUFB9,MEIS1,FAM105A,DNAJB11,GPS2,PTPDC1,CD163,EPHX1,SCFD2,CDO1,RPL10A,FLOT1,FAM135A,SELT,NOTCH1,RASSF3,LIMA1,KCND3,ANKRD29,NFE2L1,GCLC,KLHDC1,MAST1,RSBN1L,ZCWPW1,ZC3H7B,TBKBP1,ANKRD28,CLDN12,CCDC47,FUT9,ATP8B1,GPC4,ARHGAP17,MAN2A2,CLTA,HDAC10,IL17RB,MGST2,NRP2,DDAH1,ZNF821,RABGGTB,PPP1R16B,CHADL,WDSUB1,REL,PCGF3,ARF1,TM2D3,GAB1,SGTA,APLP1,RRP1,EIF1B,ARHGAP5,RABL3
CCT7,GNL1,TUB,DNAJA1,UNC50,GABRB1,TM7SF3,GSDMD,ZFAND6,CD163,CAMK2G,EPB41L2,MORF4L1,MIB1,EML2,ERBB4,ACAA1,CYP27A1,PTPRO,HS6ST1,MYCBP2,LRP4,TSC22D3,ZYG11B,MSL2,POLI,TRAF1,MGAT5B,FUBP1,NMNAT2,FBXL4,LRRC3B,ATP2B4,HDAC11,CROT,MRPL40,NCOR2,CABYR,CCPG1,KIAA0319,PTN,CEBPB,FRK,CASP8AP2,LAMA4,TTC12,HAX1,DUS1L,RAB30,CCNT2,MYO19,TCEB1,TET1,ATP5L,TAF15,BTBD1,CDON,S100A1,IFITM3,ZDHHC8,LHX2,LPL,ZBTB41,H1FX,CADM2,NDUFV3,ZNF83,TMSB4X,BNIP3,CYLD,NR6A1,SSRP1,BRI3,TTLL11,DAB2IP,STARD3NL,MRPS23,ADM,TBC1D8,SPRYD3,PTGDS,SNX30,RNF13,KCNIP4,LPGAT1,SCOC,MUT,DDI2,LCOR,UBE2M,COL27A1,PPM1B,CD164,JAG2,MAPK8IP2,RPS19,MAST4,RHBDD1,VEGFA,GPHN
