Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
ZNF222,PCYT2,RPH3AL,GPRC5A,LARP6,PRDM4,ZEB2,FARS2,ZNF660,KPNA2,PTBP2,ATP9B,CEP97,NELL2,SEC14L1,WIPI2,ADD3,ICA1,KPNB1,SEC23IP,CDKN2D,SPARCL1,ZC3H14,PPP2R5D,SMCR8,PDCD2L,XKR6,C3orf14,MT2A,MOV10,POGK,PLS3,POU5F1,NCOA6,MIER1,TSPAN31,SPRY1,RCN2,AMN,REPIN1,TAF1C,CHD1,UPK3B,DOCK8,ASB2,PPP1R15B,RIMKLA,PPP1R13L,UQCRC2,NUPL2,COL16A1,PNN,ZBTB37,RPRD1A,ZNF583,HIST1H2BD,CASKIN2,SLC35A5,MBD4,B4GALT3,IMMP2L,PROM2,RAB2B,SLC19A1,SH3BP1,APBA3,NR2F6,KAZALD1,EIF4E,SPC24,TSFM,RAD21,PLEKHM3,PNPLA4,NUPR1,U2AF2,GBGT1,AP4E1,F10,EPHA1,MEG3,BZW2,DNHD1,MAPKAPK2,FZD7,ZC3H4,FKBP8,GALM,RANBP3,MRPL24,LSM3,SLC9A7,MMGT1,WNT10A,ZNF688,TFAP2C,ATXN10,CNTN1,SUOX,C21orf59
KLHL8,HLX,MMEL1,ABI1,ZADH2,CRYBG3,TMEM68,IER2,H1FX,TMEM161A,NAPG,ZNF266,ASAP2,LYSMD2,HIRA,ISM1,HMGN2,NDUFB5,ZNF484,CSDC2,GPX1,DIO2,PAFAH2,SDCCAG3,PLK2,ZNF394,MRPL4,POLA1,PDE3B,SLC25A11,AZU1,ADAR,ABCA5,KIAA0922,AQP5,ARHGEF12,PITPNM3,BARX1,CRELD1,YKT6,ABCA1,CEBPA,ZFP64,TNNI2,PRKAR2A,CPSF4,PAM,TM4SF4,NRBP1,MFSD9,FKBP9,OSBPL5,DHX9,ZNF467,PRKG1,RICTOR,RPS15,RAB21,SSFA2,RNF219,GNAI2,RAB15,POMC,MDH2,TEX14,SCRIB,VGLL3,CBX1,UPK1B,EGLN2,MAP4K5,THADA,PPIL4,MVD,PITPNM3,MLYCD,DOCK2,WT1,MLH3,DMXL2,D2HGDH,CLCN3,SLC27A4,ZNF485,ADAT1,KISS1R,PLA2G15,APOBEC3C,SEMA3C,LDB1,MERTK,CDC42SE2,CYTH3,NRSN2,JOSD1,APEX1,NLGN2,SERPINA5,VPS28,JAK3
XPA,MPHOSPH8,SPNS3,SLC39A6,SPR,GTPBP1,TBC1D2B,FUCA2,MUM1L1,BCKDHB,HLA-DRB1,OFD1,CHD6,NOL11,PTGER2,KCTD13,FAM53C,ZNF513,FAM167A,FKBP1B,KRBA1,POLR2D,MED12,NACA2,CNGB1,HLA-A,FAM32A,CISD2,EIF3B,RUSC2,EPN2,FCGR2A,UMPS,NDUFB10,FAM122C,IWS1,WDR24,GEMIN5,TJAP1,LGALS3BP,DCXR,RBM4,PLXND1,ANXA5,C19orf60,PLCL1,PCNP,RPS25,ATP5S,PAX2,LRRC47,EGFR,ANKH,GOLGB1,CEP290,ZNF267,SPATA1,TNIK,IL18,GALNT11,ZNF609,SARM1,FBXO28,CNTN4,ALAS1,CDKL1,AGR3,NCOA6,WDR62,KIF14,SLAMF1,RFX3,TIMP1,PRPSAP1,CKAP5,NEFM,PROM2,FBXL4,BRD9,MEI1,SNTB1,ARPC1A,SH2D3C,PMF1,PTDSS2,LRIG3,ECM2,ISCA1,TNFRSF10A,PABPN1,PURA,DIRAS1,OAS2,TRMT11,ZNF660,ITGAL,SAP30,SEMA4A,PGBD5,ANKRD6
RAB31,RICTOR,SOCS4,ZBED1,RRP1B,FLVCR1,MATN4,RGN,OXT,OCEL1,METAP2,NEO1,FKBP2,CST3,PURB,CXorf21,ARL14,ZNF581,SPHK1,DUS4L,FGF18,SSPN,ING3,NDST1,SOX15,FABP5,IL2RB,FABP6,WDR27,PSMB2,ATP6V0A2,ZNF583,PECAM1,GIPC1,GDI1,CDH6,CHD1,CACNA1G,TMEM217,PGM3,MSL3,EFTUD2,HERC5,UPF3A,SLC25A13,RPUSD4,ETV7,DHRS9,NDUFA12,MVK,PAPOLG,DCP2,SLC25A43,KCTD1,SP4,BCAR1,EIF2S1,ITGA6,RASGEF1A,SLC7A6OS,C8orf76,TNFRSF10B,DDX6,RPL27A,WNT2,DZIP1L,GAN,PPP2R2D,ZNF791,GREM1,FAM122B,AP1G1,LMAN2L,CADM4,ZNF622,APOD,PRPF4,C14orf28,SCAF1,SLK,RBM15B,OTUD7B,ECD,TAP1,FBXW4,WAS,CRELD1,RP9,FAM107A,ZNF432,OAZ3,LY6E,CBLL1,SORT1,SLC39A4,FUT2,ANKRD12,SF3B1,SMS,RAB23
KATNAL2,CSF2,POU6F1,FOXO1,MTFR1,VMO1,SETD4,BNIP2,PRTG,HGF,RPP40,GLS,ZNF770,CCDC107,ANGPTL2,KCNMA1,TMEM5,FKBP7,XPC,JPH3,JUND,MAP4K5,TMEM132B,COX5B,GMCL1,TMEM201,ZNF264,NFATC2,ALKBH2,MTHFS,FBXO27,FZD3,MEIS1,THBS2,GFOD2,BRI3,TGFB1,CYTH3,FBXW2,CUL1,COPS7A,ZBTB40,TSR2,RPS6KA2,NARFL,WDR73,ZRANB1,NDUFS5,TP53I13,AIF1L,NDUFA9,TMEM185A,ZNF414,ARHGAP24,NFAT5,KBTBD7,IQGAP2,MEX3D,NBPF10,RPL7L1,ATP11B,RNF111,RAI14,WDR13,COX5A,CCNT2,AGBL5,ZNHIT6,NSMAF,DAXX,PKIG,XRCC6,ZC3HC1,ICA1,TNNT1,HS1BP3,APAF1,OGFOD1,RAMP2,DGKD,ACHE,PDE4B,KSR1,EI24,HP1BP3,DTX2,OAS2,CCT6P1,RPL27,HADH,UPF2,ASB1,NONO,NLRX1,CYTIP,PRKAR2B,PMS1,SPR,ENOX1,WDR46
E2F1,UBE2I,PRMT5,DGCR6L,GYG1,MED6,ZNF480,HSD17B11,KCNJ12,CDSN,TCTN3,ZFAND6,DCBLD2,NDUFB7,CDKN3,GFPT1,GOLGA8A,RREB1,MXI1,CPVL,TMEM67,NRM,ATP5O,ZCCHC17,TMPRSS2,KCNK6,WDR13,LEMD3,APTX,ZNF250,ARRDC3,SOX17,AASDHPPT,ICOSLG,FPR3,CD82,RNF146,TCTEX1D2,YY1,SLC27A2,MBNL3,UBE3A,MUTYH,KIAA0368,MGMT,MYLIP,SYP,CENPV,ACO1,RBM10,C15orf41,USP6NL,ZNF22,CDCA7L,ACAP1,PAQR8,TDRD3,PLXNA1,PPP4C,LANCL2,ZNF174,FUT4,TLN2,KCTD18,MAP7D2,STAU1,DENND3,TOM1L1,ATAD3A,IPO13,PPP1R9A,CHST11,MYBBP1A,MAP3K4,PROSC,ITFG2,FAM134B,KCNK12,CCNG2,STRA6,AP2M1,SEMA5A,GLTP,NUP188,MOSPD1,TRMT2B,SMAD5,SPINT1,C5orf51,C10orf76,HEY1,COX7B,KAT5,TMEM184A,GMFB,ZNF552,DDX5,TIPARP,UFC1,TBL1X
GUCY1B3,RSPH3,MORF4L2,PLEKHF1,LFNG,ALG13,SDC2,POPDC3,ARF1,NR2F1,YEATS4,BIRC5,WDSUB1,PTER,CDK8,ACTR8,PHC3,POLR2J2,UBA1,THAP2,FCN1,WNT2B,MOCS1,CD38,RUNDC1,PITX1,BBS9,GOLGA4,SOX4,CD7,DENND2C,COL16A1,CHODL,SLC44A3,ZZZ3,MIER1,RASGEF1A,LTBR,INPP5K,FGL2,ANO7,UBE2D2,ZNF644,YTHDF3,NAB1,ACTR2,MPHOSPH9,CSRNP3,CISD3,EMG1,COMMD5,GTF3C5,ITPKC,ING3,FECH,GTF2F1,GSN,CLPTM1,KRT18,BEND7,TIMM44,SEC61A1,CDK2,YOD1,CD300C,RPUSD1,PIGX,KLHL20,CNDP2,ZCRB1,SIL1,EML2,AGAP2,HSD11B1,FBXO38,NTNG2,MTRF1,MGAT3,CCDC102A,PTGS1,PFDN1,PKN1,PHF11,HLA-F,DRAP1,OPA3,NHS,RASSF4,CCNB1,CECR5,MGAT4B,RAB3IP,METTL2B,CFL1,ZFP28,CEP63,NUP88,RNF44,RAP2C,SPNS2
ANKRD13D,NQO1,PCDH19,CCNG1,HMGN1,MYO5A,FKBP11,S100A8,MELK,FAM60A,WDR66,ATF7IP2,CD164,OLFML1,CD163L1,RAB32,SLC27A4,CCDC96,DPH3,DMXL2,PALB2,CLPB,PAQR7,SLC25A39,PGM1,PHLDB1,BAG2,TM9SF1,WEE1,METAP1,BAIAP2L1,ADAMTS2,INPP1,C16orf72,UNC13D,DPY30,STAMBP,TMEM170A,LRRC40,KLF3,TELO2,HEXIM2,CDK5RAP2,CORO1A,GIGYF1,SLC22A18AS,VPS25,FADS1,SEMA7A,COMMD4,FER,ZBTB37,TYMP,ERRFI1,FKBP4,MTRF1,NAGK,KATNAL2,PRDX5,RFTN1,SPHK2,RPS3,SNIP1,ZNF554,IL3RA,ZNF12,DOCK10,ATP6V1C2,RNF157,SCCPDH,IMMP1L,SYN1,SETD6,GAS2L3,KIAA2026,MYO1G,ZNF569,TMEM38A,PIAS1,SH3GLB1,RAB8A,BCAT2,MRE11A,FIBIN,PTK2B,DZIP1L,NADK,CTSK,SLC7A6OS,LILRB1,GPS2,EXOSC2,DDX27,CHI3L1,TLR3,C19orf24,MCTP2,FOXA2,RPS3A,TNS1
MFSD10,SYTL1,OPA1,MTRF1L,MLLT11,SYNGR3,VBP1,ZNF507,C10orf2,C8orf44,TMBIM4,TBX2,ZNF503,MDFIC,SUSD2,PELI3,DYNC1H1,TSPAN9,PEX11B,METTL9,ATP2A3,PTPRR,ARNTL2,AFAP1,YTHDF2,ST18,CHST6,LRIG2,ZBTB8OS,SCN1B,TACSTD2,RASGRP1,PPL,ANKRD29,CCDC106,IKBKG,APTX,PPARGC1B,CD19,SH2D4A,ZNF789,TMEM104,MYO1G,SLIT3,IL32,PTPRN2,DUSP23,STYXL1,SYNJ2,SPINK1,PWWP2B,KRTCAP2,BCR,PDZD11,IL15,NDUFC2,EEFSEC,PFN2,CNOT3,KIF3B,SMC6,ERLIN1,SNHG11,DNAJC21,USP2,GPX3,RASSF1,DALRD3,CASK,CACNA2D4,SIK2,PXDN,TACC2,WDR55,BSCL2,TKT,RECQL4,ZNF579,ATP6V0A2,HIST1H4J,ATF6,FBXL3,ATAD3C,FZD2,MAP7,NUP62,TMEM109,TSPYL4,CPSF6,EFHC1,MPPE1,TCF20,MEF2C,ZNF83,WDR89,HGS,VPS39,GATA6,TCAP,L3MBTL2
CCNE1,RNASEH2A,SMARCC2,LSM7,FERMT3,EAF1,ZNF765,GDI2,TMEM25,DLG4,PTGER4,ELK4,S100A11,DPP7,FLNB,TRAM1,GK5,ZBTB26,CNIH4,TEAD2,SIK2,PADI2,PRCP,KCTD1,GJB2,TRIP12,RNF207,PLD4,RNF103,TMOD2,IDH3G,RUSC2,C15orf39,APCDD1L,HSPA12A,EPB41L2,CCDC102B,DSC2,ZNF141,C7orf49,LIN7A,PIGX,SPAG5,JAGN1,DDR1,SATB2,NFATC1,ZNF546,PLA2G15,RIOK2,CILP,FLVCR1,SAMD11,COX5A,GNA13,FAF1,SPN,PRKD1,TSPAN14,ALS2CL,USP9X,FANCM,LEO1,MYL9,CS,GANAB,EIF4G1,ZC3H7A,TFAP4,CCNA1,GTPBP1,MRPL35,ZNF445,ZNF347,C4orf19,REEP6,LIPT1,TMEM167B,TYK2,RNF181,PDLIM2,CCDC120,ADAMTS12,GYPC,MED28,ZFAND2B,NAT6,COX15,FADS2,ATP1B1,KCNN3,LETMD1,PCMTD2,CCL28,TATDN3,PLA2G7,FAM184B,PROS1,RAB5B,HYLS1
