Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
FAAP100,COQ9,MITF,DSEL,ACVRL1,FLCN,AL021707.2,DDX46,FAM161A,C12orf66,METTL1,APOBEC2,ABCC9,HAR1A,SMC1A,SPIN2A,AC073592.1,WAC,FHL5,DRG1,ZNF248,IL11,ZNF84,OTOA,MED30,MPZL1,EPHA2,CASP7,TNC,NUMB,C8orf37-AS1,LINC01503,PDPK1,NEK2,CELSR3,SEC13,IFT20,LINC02511,AC018816.1,AC087672.2,TMEM205,B4GALT5,PPM1G,EMCN,GATB,YES1,FAM120A,MITD1,AC021087.1,FMO1,SECISBP2,RXYLT1,AC007098.1,AC005037.1,GOSR2,KCNK5,SECTM1,TXNL4A,KCNE3,AP3M2,LINC02016,AL158071.4,NIPSNAP1,PCDHGC3,CDPF1,FASTKD1,GATM,GUCD1,WWP1,ITIH4,TRAPPC9,SHLD1,RAB5C,NCR3LG1,ZNF784,SIK3,PHC1,CASP1,MARCKSL1,FAM66A,MSN,ICA1L,MMP25,TMEM154,CCDC87,GJC3,RLN1,DLK2,EPHX3,ZNF660,ANXA2R,CHEK2,TOLLIP,TMEM115,GNLY,HECTD2,MLLT10,SSR1,VIPAS39,GPM6B
SPAG9,POMGNT2,LINC00475,FNDC10,TMEM232,SLC44A2,ARL8A,OPRL1,HSPA5,DYRK4,AC114284.1,SPSB2,JUNB,TNIP1,FMC1,GLUD2,ANKRD18B,FA2H,TYW3,FCHSD2,GNB2,XPO4,NDUFAF4,IL16,KNL1,DUOX1,IFT52,CREBL2,DOCK1,KBTBD12,TRIM11,SNX3,PRR13,RABGGTA,RPL7A,MARK1,AC016907.2,AK7,GPR108,OTUB1,SPART-AS1,NIPAL3,RBPMS,NRDC,LIPG,ARHGAP9,COX4I2,ST8SIA6-AS1,PSORS1C2,PCNT,STIMATE-MUSTN1,HECW2-AS1,SALL2,RPL19,MLKL,GXYLT1,ATP5F1A,SHF,LMF2,GRK2,PPP1R21,XYLT1,C3orf38,MRGPRF,DSCR8,MDFIC,FAM120B,CHP1,TMCC3,POGLUT1,FBLL1,CLIP3,ADAMTS14,WDHD1,ISLR2,GART,AL391807.1,SLC2A8,ACTA1,GABBR1,NFE2L2,NKAPL,SEM1,PEX6,SPOCD1,GALR2,EMC4,DCTN6,AXDND1,TROAP,AL162231.1,SMG9,LINC00475,CEP83,ZNF708,PARG,AC092910.3,CAPZB,SYNGR3,DMRT3
ACTC1,LGALS8,SPP1,THAP8,CRYM,LINC02657,KCNMB4,SERPINF2,GLO1,WDR55,FGF14,SLC33A1,GLIS3,CUTC,AC109587.1,TRO,KCNF1,KAT6B,ANKS6,LRRK2-DT,DDX46,KHDRBS3,DDX59,DERL1,FAP,CLEC4A,KCTD20,MRLN,USP39,MICU1,RNF32,POGLUT1,NUTM2B-AS1,LMTK3,THOC6,MTRF1,HMGA2-AS1,CCDC96,NCAM2,PGBD2,SMAD5-AS1,ZSCAN32,ACTN1,RGS16,SKAP2,RN7SL832P,EGR2,ZNF286B,LINC00200,YTHDC1,KCNIP2-AS1,RAB22A,GLA,PARP9,ZBTB7A,IGIP,UBE2G2,PCAT1,TIMM13,MARCHF10,TMED7,TAB2,TSC22D4,RHOT2,SASS6,SDCCAG8,SYNM,E4F1,HDGFL3,FOLR3,CACNA2D3,ZNF317,GPRC5B,LRRC29,FBXO27,DUSP28,PCLAF,THEMIS2,N4BP2,IPO9,ZNF695,PCDHGB6,AL354836.1,EHBP1,PTGER4,MBD6,GAL3ST4,AL592435.1,ZNF704,PLP2,NEFH,DCAF16,C6orf226,LONP1,UGCG,SHROOM1,CENPS,LCMT1,AL109741.1,CLVS2
IGIP,AC021092.1,EIF4A3,ZNF121,ANKRD36C,C3orf38,PPP2CA,AMH,LFNG,CELSR1,ANKRD23,TCTA,GSC,AKR1A1,MAP3K2,CXCR6,ETV2,SLIT2,FMO1,ZNF354A,SPA17,RMC1,FUZ,NOXA1,LINC00339,RNASEH1,SNX12,FAM241A,FREM2,ANKHD1,FAM110B,MTDH,ZFYVE26,NBPF3,PATL2,NIBAN2,SHROOM1,ANO9,SLC12A8,CARD16,PPM1E,SDF2,GSTM3,HTATIP2,DOK1,TMEM38B,EIF4E,INPP5B,DCPS,FOXRED1,POLR2B,ZNF576,ASB13,ZNF223,GYPE,MTMR4,BNC2,ZBTB11-AS1,GGA1,TUBA4A,PASK,ABHD8,SV2A,PDIA4,TIRAP,SH3BGRL3,ARID2,C8G,IL4I1,FJX1,SSC5D,MAP11,TNRC6A,CDR2L,TWF2,ANK2,ITGB1BP2,DCP2,NUDT17,COX4I1,IDI2-AS1,ACVR2A,RGS3,ATMIN,MAL,ZNF839,ADARB1,GATAD2B,GNB1,KAT14,ZG16B,UPF2,PAK1IP1,TM4SF19-AS1,TMEM18,RAMP2,ADGRA1,CYB5D1,ABHD13,OXA1L
ZNF630,EIF2B3,SSNA1,IPO7,CALN1,APPBP2,SPC25,FBXO6,ARSJ,CST7,DDRGK1,UNG,PEX16,P2RY6,SLC1A7,AL132656.2,APOL4,GDAP1,ZC3H15,JMJD1C,TTF1,TCTEX1D1,RRAD,NUSAP1,ASPA,ADM2,SLC35G2,MST1R,LIPE,UQCC2,GNB4,PLEKHM2,RGS16,XRCC5,IGSF22,LDB3,MRFAP1L1,TMEM52,PPP1R1A,WDR48,TARBP2,RNF38,CMC2,WDR5B,PLAAT5,VCP,TBC1D15,CDKL5,ME2,MFSD12,TEX22,RHOJ,ATL1,CDC34,ME3,MISP,PROB1,SCYL1,TRMU,SPRED3,COQ9,PDIA6,MED10,TEX14,VAV3,KIAA1549L,ZBTB10,C20orf27,GPER1,DNAJC12,HPN-AS1,ID4,NAGA,ST7L,CDC42BPA,HMGCS1,LARP7,SCHIP1,RPL36,PLPP2,R3HDM1,RSAD2,MTERF1,SLC38A2,PIAS1,MMP7,CXCR4,AC018464.1,ATG2B,SLC27A6,NOC4L,MED7,NPIPA1,PCYOX1,CCDC149,GSG1L,KSR1,TACC1,SMAGP,JAK1
SFR1,DIDO1,ATP13A2,VCPIP1,DNAJC5,CD164,ALDH16A1,UBQLN2,CEP76,ASB9,FBXO46,LRR1,BBOF1,FUT11,LINC01119,VMP1,ZCCHC7,AC079922.2,KDM2B,SLFN12,ZIC4,NUTM2E,MRPL30,PATL2,HOXA5,PLSCR1,RNASEH2C,RELA,AL109615.3,C5,EPS15-AS1,LACC1,CYB5R1,SYVN1,ASCL5,FOS,SCAF4,C6orf89,TSR2,NUP214,AC007879.3,PANK3,ZBTB44-DT,SPCS1,AC074131.1,IBA57-DT,PAPOLA,TNFSF13B,MTCP1,MSH6,FLCN,ZNF141,LUCAT1,JRK,FAM184B,SLC38A4,SLC38A7,NEU3,ASB5,FUNDC2,B3GNT8,HCST,RDH14,TRMT12,MAN2A1,WDR64,PRSS27,MRPL3,TRAM1L1,KAT6A,PCMT1,LINC02609,CYTH1,ZNF331,ILRUN,RGL3,ANAPC2,LIMD1-AS1,XG,C16orf87,PDCD4-AS1,PMPCB,HUNK,NUBP2,BNC2,CNNM2,PDK4,ZKSCAN7,VAPA,AL008729.1,CHRDL2,AC104051.2,TNXB,AL391650.1,ALG10B,DVL1,CPM,GNB1,EXOC3-AS1,RELL2
KIF1A,CDK7,AL731537.1,MBTPS2,RBMXL1,LRMP,HSD3B7,MXI1,PLEKHO1,PLEKHO1,NUDT16L1,PRPF19,PSMD3,DMKN,MAMSTR,FAM104B,TMEM121B,MLYCD,SYNGR3,CCDC40,ANKRD42,GABRE,ANXA3,MRAP2,CTSA,ZNF768,TFAP2A-AS1,MBNL1-AS1,WDCP,TMEM9B-AS1,AKAP9,ZNF875,AL137009.2,ACADL,AC090061.1,FERMT2,CCDC81,ATP5MC2,C2orf42,AP5Z1,DNAJB9,CFAP300,TP53I11,SMOC1,STIM2-AS1,ZNF607,DPH2,EPB41L3,C1orf35,CENPB,ICK,CA9,BICDL1,ACYP2,CLN6,DOLPP1,ATP5MC3,SATB2,METTL7B,CCT7,FLT4,MKS1,AC015909.2,PCOLCE-AS1,BRPF3,AMPH,RNF14,HECTD4,EPRS1,CSRNP2,SLC24A2,AC022034.1,FPR1,EFL1,PLSCR4,MEGF6,TPH1,ENDOG,ZFAND3,HNMT,SYNGR3,SPOP,RAD21,MYH8,DPY19L3,ARHGAP6,GOPC,PHKG2,AGBL5,VARS2,OGFOD2,ACVR1,AIFM2,SLC45A3,CHODL,SLC14A2,LINC00840,PCLAF,UNC45B,RASAL2-AS1
CD83,PTPRH,STRBP,TTI2,TMEM176A,TNKS2-AS1,CXXC4,MAPKAP1,PHTF2,MRPL51,DIPK2A,AC109361.1,PYGO2,LDB2,CSNK2A3,ACOXL,SYTL2,CASQ1,PROM2,CUL9,RASSF9,GPHN,RFC2,WDR83,ZNF318,ERI2,MAP2K6,DDN-AS1,WDFY3,ALKBH4,LAMA1,HMGCS1,NPAS2,SIK3,CA11,SRD5A1,ITGA6-AS1,EIF1AD,TACC1,BDH2,PYGB,NEK9,HS6ST2,AC026202.2,HDAC4-AS1,ITSN1,MYO1D,MKKS,LIMK1,SRGAP3,TEX45,TMEM170B,SHISAL2A,AKR1B1,BDP1,RPLP2,PSD,CTRB1,MBD5,SELENON,ZRANB2,RETREG1,FAM71F2,POLR2F,SHARPIN,ZNF461,PAPPA,SYCP2,FAM184A,ATP8B2,ZNF24,RNASET2,PSMB6,CACNG8,TECPR2,DGKH,ARHGEF12,B4GALNT4,SNN,ARPC5L,CCDC84-DT,AF165147.1,SUSD4,CHD3,TCERG1,TGFB2,LYN,FPR2,UBE2QL1,LINC02532,CTTNBP2,KLHDC4,CCDC138,AC079354.2,C11orf58,HYLS1,POLL,AL391422.2,SENP7,FBXW11
ERN1,CCDC3,FBRSL1,MZT1,SLC29A1,GPR150,IRAK3,HNRNPH2,NDUFA3,ARNTL,FAM13C,RHPN2,MGAT4B,MACROH2A2,ZNF808,PLEKHB2,KCNJ14,SLC11A2,RBM48,AC093627.4,CLVS1,AL162595.1,C5orf66,EPB41L4A,AC087854.1,NDEL1,VCAN,CITED2,SAFB,YOD1,SNRNP70,RAC2,DCAF11,BUB1,EIF3L,TNFSF10,SUPT4H1,KLB,ZFYVE9,KCTD13,MB,PDCD1,HEATR5A,MED14,E2F5,CASP4,PTPN3,METTL3,E2F7,AK9,PDE6G,GGT7,SLC26A9,REXO5,ZNF7,CDKAL1,CYP4F11,PTPN12,SEPTIN2,MRPL33,ERCC8,COL15A1,CNTNAP3B,FAM20A,CLN3,EFNB3,SPOP,SIAH2,Z68871.1,AL133353.1,HSD17B13,FBXW7,UVSSA,SIKE1,AC074117.1,AL162231.1,HMG20A,BRCC3,KBTBD11,ZNF239,PSEN1,ICK,PRMT9,M1AP,UBE2E3,DLGAP1-AS1,UBR2,CTSZ,OSBPL8,FOXO1,ZNF630,PGBD5,APOL1,ISG20L2,DUSP15,GPRC5C,SRGAP2C,N4BP2L2,SLC8A2,UNC45A
SIK2,TMED2-DT,AKAP9,SPRYD7,MIRLET7BHG,CPZ,IL12RB2,AC112229.3,ANP32E,LRRC69,ZNF235,SCD,TBC1D32,CDKN2AIP,CSRNP2,TIAM2,TXN,ZFY,SLC66A2,INTS14,TMEM92-AS1,ZNF862,PGBD4,WDR7,TET1,RAI14,USP35,VTI1B,GRHPR,CD109,AMER1,FAM122C,PERP,TDRD6,RPS6KA4,TUBGCP6,DCLRE1B,UQCRH,CARM1,METAP1,ADHFE1,LINC00863,CPSF2,LINC00680,SLC25A43,CAB39L,C11orf71,AGPAT2,CCNB3,AGAP9,RABIF,DTX3L,AP005717.1,DHX58,NEIL3,MAML2,CEP290,COL27A1,RFXAP,KCNMB1,TP73-AS1,PEX5L,RAP2B,SLC9A6,DHRS4,LINC02268,MPC2,APOBEC3A,HLA-DOB,VCPIP1,ITFG1,AIRE,GABRR1,AC006059.1,DIPK2A,FAS,AKR1B1,PEX11G,AL157895.2,ZNF212,KLHL23,LINC01135,KDM3B,ERCC4,STX17-AS1,ZNF333,PTPN20,GLDC,FBXO8,SLX1B,CELF2,HOXC11,AP001347.1,OBI1,MRVI1-AS1,FBLN5,LRRC6,TMEM143,UMAD1,DPH7
