Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
SPDL1,CCDC7,HNRNPH1,CIC,GSK3B,AKAP7,ATXN2,MEG3,SEMA3F,TRIM47,ZSCAN2,TRIM28,CCDC85B,MANBA,VSIG2,RRS1,WIPF1,TRIM22,ZNF428,WDR62,MTBP,CHI3L1,CLN6,ALG12,CD151,PCP4L1,RRP8,MLX,RPS25,CAMKMT,PPP1CC,CDC25A,RASIP1,NRROS,SUMO4,METAP1D,CSRNP3,KMT2A,PCDHGA10,ELP4,FNBP4,CD19,STAP2,WDR53,GRHL2,UHRF1BP1L,COQ6,ITPRIPL2,PCAT6,PQBP1,DHX35,HDAC3,TMEM234,FAM207A,GK,ZNF234,CTBS,CD274,OGFOD1,YWHAQ,SENP6,NDUFS3,GRHL2,PMF1,CCDC138,TRMT13,RPL21,S100PBP,CACNA1A,CASD1,ADH5,DGKE,COBL,RPL21,HBQ1,KLC3,TMEM121,SMARCA1,MED30,SP1,PTCD3,ACSL1,APH1B,POM121,AKIRIN2,MERTK,CNPY2,FPGT,IP6K2,COBL,CEP170B,CUEDC1,MTG1,DPP3,TMEM37,HAND2,CNNM2,OMA1,RHBDL2,ZNF169
SEMA6A,SLFN13,ARHGAP42,NKTR,RECQL5,CCDC120,USP20,PPRC1,EHD3,KRT19,RNASE1,THTPA,TMEM184A,TOP1,APIP,CHST10,WDYHV1,FAM193A,SH3BP5,MED31,C9orf72,IKBKE,SERPINE2,HAUS8,MMP11,SLC35A1,SRRM2,CMC1,UBAP1,NDST1,ZNF182,HAUS3,WBP4,OSR2,RPL17,JADE1,LAMP5,CD3D,CD2AP,MEX3C,ERAL1,EIF3L,LRRC49,LINC00893,AMMECR1L,TMOD3,PCAT6,CARS2,NOM1,WDR34,EPOR,JTB,EPHB4,NDC1,PET117,MALAT1,RPL5,TIGD5,ZMIZ1,PPP5C,IARS2,HMG20A,ZNHIT6,LINC00092,TYRO3,CENPM,FFAR4,HSF2,PLXNB1,SPATA2,KRR1,IFIT2,ALG11,AMT,PDLIM1,VPS51,AAAS,FAM126A,TBC1D13,BACH2,MAP1B,TAOK1,IFT81,PCDHB10,CSNK1G2,ARHGDIA,CLCN6,AP5B1,PSMD5,ICK,TAF4B,ANKDD1A,STAU1,SLC38A9,PGAM1,LEF1,FNBP1L,XYLB,ICAM4,RPL7L1
GTF2B,PHIP,RPS14,NUP88,PPL,SLC6A9,HEATR5A,TXK,MTMR10,VPS37C,TRIM2,TFE3,SPATA2,TTBK2,SOX10,PFDN4,BAK1,NCK2,CHKB,COL12A1,CLCN2,LURAP1L,PCTP,LRP1,PFDN4,COX7A1,MAN2C1,MRPL36,ELMO3,EREG,TRIM26,KMT2E,CAP1,QDPR,LOXL1,BMF,ERLIN1,DCP2,C1QTNF6,SCFD1,MKI67,POMGNT1,HDAC8,VEPH1,C11orf74,ARPC2,SNX13,SERINC2,CDR2L,EDIL3,AIF1L,WDR61,SHMT1,AGMAT,NSD1,MIB2,NPHP1,CCZ1B,ZNF85,DYNLT3,EXO1,IGSF3,C2orf76,PPFIBP2,UPP1,SNX13,ZNF451,EEFSEC,SP110,EXOSC1,CXCL14,HELLS,NECAP1,CASP8AP2,SUMO1,HARBI1,SNX1,TPR,MYO3A,LRIG1,SYTL4,JARID2,PI4K2A,SMN1,VAMP4,ASF1A,USP2,BBOX1,FBXO33,RPL23A,ZNF808,KIF4A,PECR,ZNF521,CDCA4,ETFB,FAM160A2,HPCAL1,ZG16B,IRX4
FOXK1,RNF14,SBF1,ARHGAP10,TRIM23,BEX2,CAMLG,COG3,TRNAU1AP,SNRPD1,FAM193A,HMGXB4,RNF39,NR4A1,LSM2,ICA1,PARVG,BRD9,ZDBF2,DXO,B3GAT2,MXD1,DUSP5,TOM1L1,LCAT,GGCT,FCGR1B,NEIL3,ZNF195,NR4A2,POLD4,ZNF667,TRIAP1,CALM1,S1PR1,CYP3A5,ZNF526,DEDD,IDH3B,CCDC126,ANAPC15,SPSB1,NLRP1,CD2AP,SMARCD3,SLC11A1,ATG2A,DLC1,SRPRB,GIMAP6,SLC26A6,RAB2B,ZNF518B,ZNF76,TMEM11,MEG3,ROR2,ASPSCR1,MAVS,BTBD1,HIBCH,WTAP,CD58,ZNF800,KIF15,FAM3B,NGDN,HTN1,PFDN5,LONRF1,MORN4,POM121,NDUFA4,THNSL1,CCDC113,POLG2,RFC1,ARHGEF33,SIPA1,SAMD9,DCUN1D4,PHB,TSPO,APOL2,ARHGEF33,ZFP41,OLFM1,EP400,MIB1,ZC3HC1,B3GALNT2,MKI67,MFN1,SCML1,MXRA7,PAICS,HYOU1,REC8,PRKAA2,DENND4B
PNPLA3,BCAP29,PALMD,PIGV,ATXN7,NUTF2,CCNT1,WDR78,MYB,C5orf15,RPP21,ELF2,GPR146,PSMA2,ACAT2,NSUN7,NUP62CL,TRIO,RBMS1,METTL9,PSMD12,CCDC57,PHF12,SOD2,GPRC5B,SLC39A4,SS18,GADD45G,MGAT4A,ZBTB26,PRPF38A,SLC9A7,KDELR2,SLU7,MIER1,ARHGDIB,LGALS3,LGALS3BP,MSMB,NFKB2,BRAF,CEP76,DAG1,TTLL7,BMPR2,NDFIP2,RWDD2B,GPI,PERP,CPEB4,S1PR2,LETM2,MTERF1,TAF13,FFAR2,MRPL54,KCTD13,RALGPS2,SIDT2,FANCI,MVK,CDK9,KLHDC2,ETV6,FAM193B,MZT2A,MEIS1,PAQR5,NOSIP,TRADD,KCTD20,CDK10,ZNF100,FOXN2,MESP2,BTRC,EWSR1,KIAA1328,MS4A4A,CDV3,RALGDS,AVL9,SYNM,CHSY1,FAM227B,QDPR,RALGPS1,RPS8,CEP70,PNPO,ZNF831,LRFN4,CNOT8,ARCN1,FKRP,BNC1,TMCO6,ME1,OSBPL11,PDLIM4
RPTOR,WDFY2,RNGTT,ANAPC2,TRAPPC3,PDE7B,PINK1,C7orf50,VAMP8,AJUBA,SNX27,BRCA2,KRIT1,SERPINB7,SMC5,EEFSEC,BCAP31,C1orf53,PFKFB3,ANKRD22,OAS2,ZNF563,ADIRF,FCRLB,ZDHHC20,PPP2R5D,NDUFAF2,FAM49A,RGS16,SMIM12,MAN2C1,BRK1,CD200R1,NEIL2,ITGB5,FAM216A,WDR7,NR4A1,IGSF3,MRPL28,INO80E,UBAC1,PAXIP1,PPM1F,ZNF468,VPS37A,ZBTB8OS,HNRNPLL,GMFB,PROCR,LARP4,LRRK2,DYNC1H1,FAM78B,ZCCHC9,CASC3,LIX1L,PROSER2,REL,FAM120A,RPTOR,ATG10,SACM1L,VANGL2,CREBL2,C1QBP,C2orf74,KTI12,TDP1,ABCA7,C15orf40,PPP1R14C,SLA2,MOB1B,MARVELD1,PABPC4L,ZEB2,TAOK1,SLC9A3R2,TRIM29,UPP1,TCHP,PTCH1,TMEM123,SMARCAL1,SMPD1,EPS8,EPS15,GIMAP2,BCL7B,LINC00476,ZNF217,DNAJA3,RGS9,MAGED1,CYFIP1,SDAD1,CENPT,TAB3,TIAL1
KPTN,SPATA2,TET3,PCBD2,FBXL2,EIF6,CROCC,SDHA,FPGS,VCAN,LSM10,KLRG1,ATG13,CHMP4B,CPVL,BANF1,AP4S1,AP3B2,SEMA4A,EPN3,SEC22A,LUC7L2,CTDSPL,CTBS,SPTLC2,NAA16,CCDC134,THRA,CCDC91,PKNOX1,RNF121,PCOLCE,ACTR10,MTMR12,AMOT,FBXO8,KIFC1,TCEAL2,IDH3G,RAD9A,POP1,RASL10B,ULBP2,NUP188,PLXNB2,COMT,TSPAN10,PRMT1,PRKCSH,MMP12,RBM34,NEO1,DHX35,ATP9A,PDGFRB,ARMCX6,LYSMD3,ARHGAP11A,PAM,SMIM4,PSCA,LETMD1,MPLKIP,L2HGDH,CD247,GFOD1,IAH1,KIF25,PLEKHG1,CDC42SE2,MARVELD2,ALDH2,KLC3,ZBTB24,VSIG10,NANOS3,ACAT1,IRX5,EHBP1,EDARADD,ESRRG,MED14,TULP4,CBLC,ZNF34,PRSS33,FAT1,MZF1,GBP2,NOL10,MEA1,PPP1R16B,CBR4,LUZP1,CCDC113,KLF10,GPR84,RABL2A,LPIN1,ZNF276
MAZ,TREM2,ZRANB3,B4GALT6,ERC1,GAL,FERMT1,TLCD1,PPP1R2,TVP23B,CAP1,SMOC1,NEK4,CNOT6,TMEM88,BLOC1S3,QPRT,TP53BP2,PBRM1,EFNA1,NPM3,TNIK,PPP2R5D,SNX12,HRH2,B3GALNT1,SLFN11,CHORDC1,COL6A3,HS3ST1,WDR37,GRAMD1B,GAS6,INTS10,KMT2A,SNCA,ASH2L,UBE2W,CD3E,TBC1D12,CYTH3,DUSP22,LILRB3,CLDN4,MRPL43,IFT22,RAB20,PIM2,CDK5RAP3,EIF1AD,GNAI3,ZDHHC7,PALMD,LETM1,CCDC40,C10orf99,SLC39A6,ZDHHC24,CASP6,RAB28,USO1,RNF123,SAMD3,ZNF599,C9orf152,PSMD6,RALGAPB,SERTAD2,TUBGCP4,HSPA4,DMKN,GCC1,ZFYVE9,IL15,E2F6,SMAD4,DBN1,UFSP2,ACTL6A,RPS6KA4,NXN,IKZF1,THNSL2,ZNF76,FAM3D,SMOC2,VPS33B,HSPB11,TRAPPC13,KDM5B,FLVCR2,CD74,LATS1,STK38L,MRPS22,BLZF1,SLC35A4,NFKB2,TMEM150C,KLRF1
SMG5,C12orf4,ZBTB26,BLOC1S3,ALG3,ZDHHC17,P2RY14,ARFGAP2,SNRNP25,SYNJ1,GNL3,ALG3,PAQR7,SLC25A1,KIAA0232,TMEM25,RPS27A,C1QB,CDC42BPB,LSM3,KLF12,TPST1,IRX3,NUDT18,NECAP1,PRCC,TLR8,DAZAP2,RETN,MRPL4,RAB29,CLNK,RHEB,LRIF1,ACADS,ABCD1,FAM102A,NOXO1,ST8SIA1,ZMPSTE24,ACTN4,SLC9A6,PORCN,ASPG,GPR19,EXOSC5,NR1D1,VPS16,NMT2,TMBIM4,ABLIM1,TNRC6C,ISCU,UBXN4,RAB39B,MRPL27,KDSR,APOBEC3G,RAP2B,GLIS2,SLC19A2,BCR,PPP4C,MAP3K13,HHLA3,ABCD4,FITM2,PPME1,MEA1,WDR47,ENC1,FAM107A,PDCD6,PPP2R5D,LCA5L,ZNF398,CAMK2B,TCERG1,SMC2,DCK,CAMK1D,PAPOLG,IP6K1,CYB5D1,COG8,ZBED8,FANCF,CLOCK,ERI2,LDHB,PMEPA1,FANK1,PDE4B,C2orf76,LIN7B,TUBB2A,SYNE2,LRFN4,TSPAN7,POU5F1
PIM1,TUBB,MRPL23,VRK2,APOL1,MARC1,RCOR3,AMER1,DNAJB14,MZT2B,SPRYD4,SMTN,KRTCAP3,SP3,PTPRA,AATK,UBE2Q2,ANKRD37,DPT,ILF3,THOC5,SOS1,RNF213,MMGT1,STK4,ZNF26,ZNF17,HPS4,ABHD14B,GYS1,YPEL5,CD99,SSU72,PNKD,PTGIR,R3HDM4,AP5S1,MBD4,KLF4,TMEM184C,ZNF529,FMNL2,LRRC75A,MTO1,ZFAS1,RARS2,PXK,CASC4,GJB5,COPE,SLC27A3,RALA,CALM1,VANGL1,CMPK1,SDHA,PTGDS,ST8SIA4,ADCY7,OLFML3,TEN1,FTSJ3,EFHC1,NSUN7,MMADHC,SH3GLB2,RANBP2,ROR2,COL5A2,WDR43,CLTA,GADD45G,COA7,NOXA1,BLVRB,ACAA1,CRADD,SULT1A1,RASSF9,PRKAA1,EMG1,ARHGAP31,CASP1,MAPK3,KIAA1549,KCNQ1OT1,LNP1,NPLOC4,PTMS,COCH,ALDH5A1,DMAP1,FTX,STEAP3,FBXO46,LTV1,C14orf93,PSPH,STX5,NRBP1
